id,indicator_id,province_id,indicator_value,year
,16,1400,3.36,2024
,16,1500,1.68,2024
,16,1600,0.86,2024
,16,1700,37.27,2024
,16,1800,2.83,2024
,16,1900,6.62,2024
,16,2100,42.67,2024
,16,3100,0.98,2024
,16,3200,4.86,2024
,16,3300,19.51,2024
,16,3400,21.99,2024
,16,3500,4.02,2024
,16,3600,3.59,2024
,16,5100,1.58,2024
,16,5200,2.54,2024
,16,5300,0.94,2024
,16,6100,10.21,2024
,16,6200,1.73,2024
,16,6300,3.67,2024
,16,6400,0.93,2024
,16,6500,1,2024
,16,7100,3.57,2024
,16,7200,1.48,2024
,16,7300,5.22,2024
,16,7400,4.86,2024
,16,7500,5.19,2024
,16,7600,0.12,2024
,16,8100,23.4,2024
,16,8200,7.5,2024
,16,9100,0,2024
,16,9400,11.03,2024
,16,1001,6.9,2024
,17,1100,16.94,2024
,17,1200,8.2,2024
,17,1300,14.65,2024
,17,1400,25,2024
,17,1500,28.98,2024
,17,1600,20.68,2024
,17,1700,11.32,2024
,17,1800,39.37,2024
,17,1900,24.75,2024
,17,2100,19.13,2024
,17,3100,48,2024
,17,3200,12.7,2024
,17,3300,12.14,2024
,17,3400,32.9,2024
,17,3500,12.2,2024
,17,3600,23.67,2024
,17,5100,40,2024
,17,5200,7.67,2024
,17,5300,13.05,2024
,17,6100,14.7,2024
,17,6200,4.25,2024
,17,6300,26.39,2024
,17,6400,13.52,2024
,17,6500,30.46,2024
,17,7100,8.54,2024
,17,7200,7.89,2024
,17,7300,25.44,2024
,17,7400,7.83,2024
,17,7500,16.98,2024
,17,7600,16.41,2024
,17,8100,26.9,2024
,17,8200,15.18,2024
,17,9100,5.88,2024
,17,9400,7.03,2024
,17,1001,16.1,2024
,18,1100,76.85,2024
,18,1200,40.42,2024
,18,1300,97.9,2024
,18,1400,57.88,2024
,18,1500,87.52,2024
,18,1600,100,2024
,18,1700,97.2,2024
,18,1800,72.83,2024
,18,1900,99.53,2024
,18,2100,40.85,2024
,18,3100,3.8,2024
,18,3200,72.33,2024
,18,3300,98.39,2024
,18,3400,89.62,2024
,18,3500,96.68,2024
,18,3600,57.56,2024
,18,5100,94,2024
,18,5200,96.01,2024
,18,5300,68.53,2024
,18,6100,73.18,2024
,18,6200,91.7,2024
,18,6300,96.07,2024
,18,6400,32.57,2024
,18,6500,25.81,2024
,18,7100,98.03,2024
,18,7200,45.53,2024
,18,7300,74.8,2024
,18,7400,46.58,2024
,18,7500,92.38,2024
,18,7600,80.98,2024
,18,8100,71.8,2024
,18,8200,82.4,2024
,18,9100,17.36,2024
,18,9400,56.79,2024
,18,1001,73.97,2024
,19,1100,31.42,2024
,19,1200,56.23,2024
,19,1300,29.82,2024
,19,1400,57.82,2024
,19,1500,45.37,2024
,19,1600,65.79,2024
,19,1700,49.98,2024
,19,1800,66.05,2024
,19,1900,63.89,2024
,19,2100,58.97,2024
,19,3100,47.63,2024
,19,3200,40.82,2024
,19,3300,52.15,2024
,19,3400,56.5,2024
,19,3500,62.67,2024
,19,3600,45.23,2024
,19,5100,68,2024
,19,5200,51.24,2024
,19,5300,16.68,2024
,19,6100,40.37,2024
,19,6200,37.73,2024
,19,6300,40,2024
,19,6400,47.72,2024
,19,6500,43.88,2024
,19,7100,26.48,2024
,19,7200,27.7,2024
,19,7300,40.08,2024
,19,7400,37.55,2024
,19,7500,28.54,2024
,19,7600,27.41,2024
,19,8100,19.43,2024
,19,8200,35.1,2024
,19,9100,34.91,2024
,19,9400,29.67,2024
,19,1001,63.86,2024
,20,1100,26.63,2024
,20,1200,16.93,2024
,20,1300,18.12,2024
