indicator_id,province_id,indicator_value,year
6,3500,73.33,2018
6,3600,73.29,2018
6,5100,72.97,2018
6,5200,77.78,2018
6,5300,71.41,2018
6,6100,63.03,2018
6,6200,55.33,2018
6,6300,62.27,2018
6,6400,78.11,2018
6,6500,73.59,2018
6,7100,76.23,2018
6,7200,76.77,2018
6,7300,64.85,2018
6,7400,60,2018
6,7500,56.97,2018
6,7600,75.83,2018
6,8100,57.17,2018
6,8200,73.2,2018
6,9100,62.08,2018
6,9400,65.08,2018
6,1001,71.05,2018
7,1100,94.85,2018
7,1200,92.73,2018
7,1300,93.73,2018
7,1400,90.54,2018
7,1500,90.45,2018
7,1600,90.35,2018
7,1700,93.29,2018
7,1800,91.28,2018
7,1900,86.06,2018
7,2100,94.9,2018
7,3100,93.72,2018
7,3200,87.73,2018
7,3300,89.63,2018
7,3400,96.04,2018
7,3500,90.14,2018
7,3600,88.02,2018
7,5100,93.18,2018
7,5200,91.83,2018
7,5300,91.29,2018
7,6100,88.69,2018
7,6200,89.23,2018
7,6300,88.12,2018
7,6400,94.06,2018
7,6500,89.39,2018
7,7100,89.96,2018
7,7200,89.56,2018
7,7300,89.09,2018
7,7400,91.36,2018
7,7500,88.7,2018
7,7600,87.85,2018
7,8100,93.66,2018
7,8200,91.3,2018
7,9100,91.2,2018
7,9400,74.31,2018
7,1001,89.92,2018
8,1100,31.86,2018
8,1200,75.02,2018
8,1300,53.51,2018
8,1400,75.87,2018
8,1500,61.85,2018
8,1600,70.17,2018
8,1700,79.88,2018
8,1800,82.73,2018
8,1900,77.78,2018
8,2100,91.29,2018
8,3100,84.43,2018
8,3200,54.04,2018
8,3300,79.51,2018
8,3400,89.48,2018
8,3500,74.48,2018
8,3600,57.75,2018
8,5100,82.73,2018
8,5200,55.8,2018
8,5300,83.36,2018
8,6100,90.98,2018
8,6200,90.96,2018
8,6300,71.22,2018
8,6400,89.14,2018
8,6500,93.23,2018
8,7100,91.93,2018
8,7200,84.29,2018
8,7300,77.31,2018
8,7400,85.98,2018
8,7500,76.56,2018
8,7600,77.82,2018
8,8100,84.36,2018
8,8200,79.75,2018
8,9100,92.59,2018
8,9400,84.22,2018
8,1001,71.45,2018
9,1100,60.64,2018
9,1200,84.12,2018
9,1300,70.88,2018
9,1400,88.67,2018
9,1500,76.33,2018
9,1600,78.56,2018
9,1700,88.69,2018
9,1800,85.74,2018
9,1900,84.22,2018
9,2100,88.23,2018
9,3100,86.31,2018
9,3200,70.07,2018
9,3300,83.06,2018
9,3400,90.12,2018
9,3500,80.16,2018
9,3600,68.37,2018
9,5100,82.13,2018
9,5200,74.98,2018
9,5300,86.8,2018
9,6100,92.07,2018
9,6200,91.41,2018
9,6300,85.06,2018
9,6400,92.32,2018
9,6500,97.69,2018
9,7100,91.33,2018
9,7200,90.85,2018
9,7300,83.82,2018
9,7400,94.16,2018
9,7500,89.34,2018
9,7600,87.49,2018
9,8100,87.97,2018
9,8200,81.33,2018
9,9100,95.52,2018
9,9400,85.35,2018
9,1001,79.92,2018
10,1100,41.91,2018
10,1200,85.44,2018
10,1300,68.47,2018
10,1400,87.66,2018
10,1500,76.91,2018
10,1600,78.17,2018
10,1700,88.21,2018
10,1800,90.14,2018
10,1900,89.63,2018
10,2100,98.67,2018
10,3100,91.2,2018
10,3200,67.68,2018
10,3300,87.26,2018
10,3400,94.52,2018
10,3500,82.6,2018
10,3600,69.77,2018
10,5100,96.12,2018
10,5200,67.93,2018
10,5300,90.15,2018
10,6100,95.65,2018
10,6200,96.06,2018
10,6300,81.56,2018
10,6400,94.74,2018
10,6500,98.25,2018
10,7100,95.97,2018
10,7200,91.88,2018
10,7300,83.63,2018
10,7400,87.24,2018
10,7500,79.3,2018
10,7600,87.99,2018
10,8100,93,2018
10,8200,80.53,2018
10,9100,96.08,2018
10,9400,90.04,2018
10,1001,80.92,2018
11,1100,71.19,2018
11,1200,91.3,2018
11,1300,82.63,2018
11,1400,94.14,2018
11,1500,88.44,2018
11,1600,84.19,2018
11,1700,93.82,2018
11,1800,94.44,2018
11,1900,92.09,2018
11,2100,97.6,2018
11,3100,95.02,2018
11,3200,81.19,2018
11,3300,90.49,2018
11,3400,95.17,2018
