indicator_id,province_id,indicator_value,year
13,7500,38.28,2022
13,7600,29.51,2022
13,8100,53.01,2022
13,8200,46.55,2022
13,9100,35.27,2022
13,9400,51.98,2022
13,1001,35.45,2022
14,1100,17.71,2022
14,1200,9.31,2022
14,1300,13.09,2022
14,1400,6.96,2022
14,1500,6.76,2022
14,1600,13.53,2022
14,1700,4.99,2022
14,1800,7.93,2022
14,1900,5.22,2022
14,2100,11.83,2022
14,3100,14.72,2022
14,3200,18.07,2022
14,3300,5.27,2022
14,3400,11.59,2022
14,3500,8.53,2022
14,3600,23.64,2022
14,5100,5.36,2022
14,5200,10.31,2022
14,5300,14.34,2022
14,6100,11.00,2022
14,6200,8.78,2022
14,6300,5.34,2022
14,6400,19.21,2022
14,6500,9.01,2022
14,7100,10.07,2022
14,7200,17.24,2022
14,7300,9.00,2022
14,7400,7.81,2022
14,7500,11.90,2022
14,7600,9.36,2022
14,8100,8.80,2022
14,8200,6.85,2022
14,9100,14.57,2022
14,9400,21.19,2022
14,1001,11.88,2022
15,1100,67.49,2022
15,1200,68.13,2022
15,1300,71.44,2022
15,1400,68.55,2022
15,1500,75.11,2022
15,1600,66.55,2022
15,1700,82.83,2022
15,1800,68.22,2022
15,1900,78.89,2022
15,2100,85.27,2022
15,3100,71.79,2022
15,3200,65.30,2022
15,3300,86.47,2022
15,3400,83.19,2022
15,3500,77.62,2022
15,3600,59.58,2022
15,5100,91.72,2022
15,5200,84.69,2022
15,5300,80.33,2022
15,6100,74.76,2022
15,6200,74.38,2022
15,6300,88.08,2022
15,6400,75.52,2022
15,6500,77.76,2022
15,7100,72.15,2022
15,7200,62.95,2022
15,7300,77.39,2022
15,7400,82.08,2022
15,7500,75.28,2022
15,7600,77.58,2022
15,8100,79.69,2022
15,8200,84.08,2022
15,9100,69.15,2022
15,9400,71.00,2022
15,1001,73.97,2022
16,1100,2.07,2022
16,1200,4.67,2022
16,1300,22.03,2022
16,1400,12.69,2022
16,1500,1.28,2022
16,1600,10.76,2022
16,1700,4.20,2022
16,1800,1.58,2022
16,1900,6.22,2022
16,2100,23.71,2022
16,3100,0.87,2022
16,3200,6.15,2022
16,3300,5.42,2022
16,3400,16.09,2022
16,3500,6.05,2022
16,3600,9.53,2022
16,5100,1.14,2022
16,5200,1.07,2022
16,5300,0.52,2022
16,6100,17.84,2022
16,6200,33.45,2022
16,6300,4.39,2022
16,6400,1.27,2022
16,6500,0.57,2022
16,7100,3.06,2022
16,7200,1.91,2022
16,7300,2.52,2022
16,7400,3.41,2022
16,7500,6.19,2022
16,7600,1.03,2022
16,8100,14.61,2022
16,8200,3.86,2022
16,9100,0.00,2022
16,9400,7.22,2022
16,1001,4.73,2022
17,1100,14.07,2022
17,1200,6.84,2022
17,1300,15.35,2022
17,1400,29.49,2022
17,1500,25.45,2022
17,1600,15.33,2022
17,1700,9.09,2022
17,1800,24.03,2022
17,1900,22.75,2022
17,2100,23.53,2022
17,3100,41.48,2022
17,3200,14.71,2022
17,3300,15.01,2022
17,3400,30.88,2022
17,3500,12.41,2022
17,3600,18.80,2022
17,5100,22.38,2022
17,5200,4.21,2022
17,5300,7.24,2022
17,6100,9.80,2022
17,6200,3.35,2022
17,6300,12.96,2022
17,6400,11.44,2022
17,6500,21.01,2022
17,7100,6.59,2022
17,7200,9.80,2022
17,7300,21.12,2022
17,7400,16.07,2022
17,7500,12.75,2022
17,7600,11.88,2022
17,8100,19.40,2022
17,8200,18.04,2022
17,9100,4.46,2022
17,9400,6.47,2022
17,1001,14.76,2022
18,1100,76.55,2022
18,1200,40.65,2022
18,1300,97.14,2022
18,1400,54.14,2022
18,1500,78.36,2022
18,1600,97.58,2022
18,1700,92.52,2022
18,1800,75.30,2022
18,1900,95.81,2022
18,2100,30.53,2022
18,3100,7.15,2022
18,3200,73.28,2022
18,3300,96.61,2022
18,3400,91.77,2022
18,3500,95.14,2022
18,3600,55.40,2022
18,5100,87.61,2022
18,5200,91.59,2022
18,5300,64.56,2022
18,6100,83.00,2022
18,6200,87.94,2022
18,6300,94.70,2022
18,6400,35.27,2022
18,6500,20.07,2022
18,7100,43.25,2022
18,7200,43.78,2022
18,7300,68.43,2022
18,7400,45.58,2022
18,7500,30.80,2022
18,7600,72.66,2022
18,8100,74.10,2022
18,8200,56.23,2022
18,9100,32.32,2022
18,9400,65.33,2022
18,1001,74.30,2022
19,1100,64.53,2022
19,1200,80.58,2022
19,1300,73.23,2022
19,1400,79.65,2022
19,1500,77.39,2022
19,1600,80.49,2022
19,1700,78.51,2022
19,1800,76.70,2022
19,1900,64.58,2022
19,2100,56.00,2022
19,3100,68.97,2022
19,3200,72.97,2022
19,3300,69.73,2022
19,3400,54.57,2022
19,3500,74.11,2022
19,3600,65.88,2022
19,5100,80.13,2022
19,5200,79.84,2022
19,5300,52.18,2022
19,6100,69.35,2022
19,6200,71.32,2022
19,6300,77.97,2022
19,6400,73.96,2022
19,6500,64.81,2022
19,7100,63.29,2022
19,7200,66.71,2022
19,7300,74.44,2022
19,7400,68.90,2022
19,7500,75.46,2022
19,7600,61.37,2022
19,8100,66.24,2022
19,8200,71.48,2022
19,9100,44.52,2022
19,9400,29.30,2022
19,1001,71.56,2022
20,1100,11.12,2022
20,1200,9.14,2022
20,1300,9.74,2022
20,1400,6.85,2022
20,1500,9.50,2022
20,1600,7.87,2022
20,1700,10.60,2022
20,1800,6.19,2022
20,1900,8.83,2022
20,2100,8.07,2022
20,3100,10.66,2022
20,3200,8.14,2022
20,3300,5.52,2022
20,3400,4.78,2022
20,3500,7.23,2022
20,3600,14.17,2022
20,5100,19.09,2022
20,5200,7.03,2022
20,5300,7.33,2022
20,6100,9.08,2022
20,6200,10.54,2022
20,6300,7.22,2022
20,6400,13.10,2022
20,6500,29.12,2022
20,7100,6.32,2022
20,7200,6.05,2022
20,7300,5.89,2022
20,7400,5.34,2022
20,7500,9.49,2022
20,7600,3.48,2022
20,8100,5.95,2022
20,8200,5.10,2022
20,9100,4.18,2022
20,9400,2.16,2022
20,1001,8.10,2022
21,1100,57.89,2022
21,1200,62.83,2022
21,1300,60.31,2022
21,1400,66.03,2022
21,1500,67.07,2022
21,1600,73.70,2022
21,1700,78.02,2022
21,1800,80.11,2022
21,1900,66.61,2022
21,2100,48.58,2022
21,3100,75.69,2022
21,3200,92.74,2022
21,3300,83.80,2022
21,3400,88.38,2022
21,3500,81.02,2022
21,3600,81.21,2022
21,5100,82.72,2022
21,5200,76.85,2022
21,5300,73.39,2022
21,6100,62.24,2022
21,6200,65.42,2022
21,6300,74.98,2022
21,6400,80.63,2022
21,6500,56.46,2022
21,7100,34.13,2022
21,7200,56.85,2022
21,7300,62.64,2022
21,7400,66.04,2022
21,7500,73.24,2022
21,7600,52.34,2022
21,8100,59.78,2022
21,8200,58.63,2022
21,9100,45.84,2022
21,9400,62.25,2022
21,1001,77.59,2022
22,1100,20.18,2022
22,1200,8.76,2022
22,1300,12.01,2022
22,1400,12.68,2022
22,1500,13.71,2022
22,1600,7.94,2022
22,1700,11.68,2022
22,1800,8.47,2022
22,1900,5.22,2022
22,2100,8.99,2022
22,3100,4.86,2022
22,3200,11.80,2022
22,3300,11.79,2022
22,3400,16.23,2022
22,3500,11.75,2022
22,3600,12.10,2022
22,5100,8.76,2022
22,5200,17.25,2022
22,5300,17.91,2022
22,6100,15.24,2022
22,6200,12.37,2022
22,6300,10.08,2022
22,6400,11.89,2022
22,6500,9.13,2022
22,7100,12.69,2022
22,7200,12.92,2022
22,7300,8.39,2022
22,7400,12.91,2022
